Year,Country,Temperature
1917,Belgium,8.738876666666668
1918,Belgium,9.880348333333332
1919,Belgium,8.790330833333334
1920,Belgium,9.956866666666667
1921,Belgium,10.577665000000001
1922,Belgium,8.848265833333334
1923,Belgium,9.501756666666665
1924,Belgium,9.171329166666666
1925,Belgium,9.573464999999999
1926,Belgium,10.039166666666667
1927,Belgium,9.418363333333334
1928,Belgium,9.892436666666669
1929,Belgium,9.038084166666668
1930,Belgium,10.127140833333334
1931,Belgium,9.142324166666667
1932,Belgium,9.706352500000001
1933,Belgium,9.380730000000002
1934,Belgium,10.528415
1935,Belgium,9.928803333333333
1936,Belgium,9.747939999999998
1937,Belgium,9.975873333333334
1938,Belgium,9.985719166666668
1939,Belgium,9.8697
1940,Belgium,8.609501666666667
1941,Belgium,9.012199166666667
1942,Belgium,8.915576666666666
1943,Belgium,10.226619166666667
1944,Belgium,9.638391666666667
1945,Belgium,10.4161575
1946,Belgium,9.604244999999999
1947,Belgium,10.291524166666665
1948,Belgium,10.392736666666666
1949,Belgium,10.659948333333334
1950,Belgium,9.9372625
1951,Belgium,9.722655
1952,Belgium,9.262811666666666
1953,Belgium,9.838604166666666
1954,Belgium,9.075257500000001
1955,Belgium,8.998389999999999
1956,Belgium,8.474405
1957,Belgium,9.901658333333334
1958,Belgium,9.484825
1959,Belgium,10.447728333333332
1960,Belgium,9.755021666666666
1961,Belgium,10.188343333333332
1962,Belgium,8.383421666666669
1963,Belgium,8.0799475
1964,Belgium,9.413680000000001
1965,Belgium,8.829013333333332
1966,Belgium,9.662989166666668
1967,Belgium,9.856378333333334
1968,Belgium,9.198332500000001
1969,Belgium,9.394154166666667
1970,Belgium,9.3360575
1971,Belgium,9.695963333333333
1972,Belgium,9.182905833333333
1973,Belgium,9.6075625
1974,Belgium,9.9119525
1975,Belgium,9.896639166666665
1976,Belgium,10.1805775
1977,Belgium,9.830158333333335
1978,Belgium,9.046300833333333
1979,Belgium,8.923964166666666
1980,Belgium,9.1348775
1981,Belgium,9.476469166666666
1982,Belgium,10.172128333333331
1983,Belgium,10.153869166666668
1984,Belgium,9.485626666666667
1985,Belgium,8.651270833333333
1986,Belgium,9.062963333333334
1987,Belgium,8.909501666666667
1988,Belgium,10.317492500000002
1989,Belgium,10.800513333333335
1990,Belgium,10.866319166666665
1991,Belgium,9.694502499999999
1992,Belgium,10.475485833333332
1993,Belgium,9.851395833333337
1994,Belgium,10.924965833333331
